,Stories,beds,baths,floor_space,price,Zip Code,Cooling System,Days on Market,Year Built,Property Type,Price Per Sqft,Units in Building,HOA Fee,Lot Area,Parking Spaces,Parking,Basement,Number of Rooms,Number of Bedrooms,Number of Bathrooms,Number of Bathrooms (full),Living Area,Heating,Air Conditioning,Heating Fuel,Common Walls,Number of Garage Spaces,Sewer,Year Renovated,Property Subtype,Architecture,Construction Materials,Parcel Number,List Price,MLS Status,City,Elementary School,Elementary School District,Jr High / Middle School,Jr High / Middle School District,High School,High School District,MLS/Source ID,Community Features,Year Updated,Utilities,Community,Ownership,Appliances,Laundry,Included in Sale,HOA Fee Includes,Attic,HOA Amenities,Accessibility,Flooring,Floors,Types of Rooms,Number of Bathrooms (half),Electric,Levels,Security,Fencing,Condition,Building Area,Listing Agreement Type,"<a href=""http",Water View,Other Structures,Patio / Porch,"<a href=""https",Roof,Foundation,Building,Special Conditions,View,Responsible for Road Maintenance,Tenant Pays,Exterior,Structure Type,Number of Bathrooms (three quarters),Pool,Builder Model,Not Included in Sale,Number of Stories,Window,Number of Fireplaces,Waterfront,Price Range,Foundation Area,Listing Url,Number Of Vacant Units,Building Name,HOA Name,HOA Phone,Parking Space,Spa,Door,HOA Fee (second),HOA Fee Frequency (second),Finished Area (above surface),Finished Area (below surface),Listing Terms,Buyer Agency Commission,Buyer Agency Commission Type,Fireplace,Owner Pays,Energy Efficiency Features,Off Market Date
214, 2,2.0,2.0,1536.0,"399,000",10303,, 1, 1915, Residential, $260,,,7200,," No Garage,Off Street", None, 5, 2, 2, 2, 1536 Square Feet," Forced Air,Natural Gas", Units, Forced Air,,, Public Sewer,, Two Family - Detached, Other,, 01190-0038," $399,000", Acceptance, Staten Island,,,,,,, 1158949,,,,,,,,,,,,,,," Master Bedroom, Dining Room, Kitchen, Living Room",, 220 Volts, 2.0,,," Existing, Good", 1536 Square Feet, Exclusive Right To Sell,, None,,,,,,,,,,,,,,,,,,,,,,, garypapirov.net,,,,,,,,,,,,,,,,,,
215, 2,3.0,3.0,1892.0,"849,000",10309,, 1, 1930, Residential, $449,,,7000, 2," Detached,Garage,Off Street", Full, 5, 3, 3, 1, 1892 Square Feet," Forced Air,Natural Gas", Central Air, Forced Air,, 2, Public Sewer,, Single Family - Detached, Colonial,, 08008-0068," $849,000", Active, Staten Island,,,,,,, 1158948,,,,,,,,,,,,,,," Master Bedroom, Dining Room, Kitchen, Living Room", 1, 220 Volts, 2.0,, Fenced," Existing, Excellent", 1892 Square Feet, Exclusive Right To Sell,, None,, Deck,,,,,,,,, Balcony,, 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,,4.0,3.0,2230.0,"749,000",11694,, 1,, Residential, $336, 1,,3000, 2," Private Drive,2 Spaces"," Full,Unfinished", 10, 4, 3, 3, 2230 Square Feet," Oil,Steam/Radiator",, Oil,,,,, Multi Family, Other," Vinyl Siding, Brick",," $749,000", Active, Rockaway Park,,,,,,, 469321,,,, Queens,," Refrigerator, Stove, Gas Water Heater",,,,,,," Hardwood, Linoleum"," Hardwood, Linoleum",,, 100 Amp Service,,,,, 2230 Square Feet,,,,,,, Shingle, Other, NONE, Arm's Length,,,,,,,,,,,,,,, 780,, 1,,,,,,,,,,,,,,,,,
217,,1.0,1.0,,"525,000",10029,, 1 Day on Trulia, 2011, Coop, $655, 122, $602/Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,,1.0,2.0,,"1,135,000",11201, Central, 1 Day on Trulia, 2021, Condo," $1,384", 408, $972/Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"//youtube.com/watch?v=63zj50Z4N0M"" rel=""nofollow noreferrer"" target=""_blank"">See Virtual Tour</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219, 8,1.0,1.0,,"349,000",10040,, 1 Day on Trulia, 1963, Coop,, 171, $579/Monthly,,,,, 4,,,,,,,,,,,,, Contemporary,,,,,,,,,,,,,, 2015,,,,,,,,,,,, Hardwood," Family Room, Laundry Room",,,,,,,,,,,,,"//youtube.com/watch?v=bwxhkb9Do6c"" rel=""nofollow noreferrer"" target=""_blank"">See Virtual Tour</a>", Other,,,,,,, Brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220, 8,2.0,3.0,1362.0,"1,895,000",11249, Central, 1 Day on Trulia, 2016, Condo," $1,391", 60," $1,718/Monthly",,,,,,,,,, Forced Air,, Forced Air,,,,,, Loft,,,,,,,,,,,, 1189969578724549209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221, 2,8.0,3.0,3534.0,"675,000",10466,, 1 Day on Trulia, 1901, Multi Family, $191, 3,,2577,, Garage Attached,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222, 1,1.0,1.0,,"279,000",10463,, 1 Day on Trulia, 1988, Condo, $513, 15, $538/Monthly,4017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223, 2,3.0,3.0,1585.0,"799,000",11229,, 1 Day on Trulia, 1925, Single Family Home, $504, 1,,3537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,,1.0,1.0,,"1,235,000",11201, Central, 1 Day on Trulia, 2021, Condo," $1,669", 408, $877/Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"//youtube.com/watch?v=63zj50Z4N0M"" rel=""nofollow noreferrer"" target=""_blank"">See Virtual Tour</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,,4.0,3.0,1900.0,"2,485,000",10023, Central, 1 Day on Trulia, 1985, Condo," $1,308", 75," $4,670/Monthly",,, None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Hardwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226, 16,2.0,1.0,,"1,695,000",10002,, 1 Day on Trulia, 2010, Condo," $1,883", 55," $1,000/Monthly",,, Garage Detached,, 5,,,,,,,,,,,,,,,,,,,,,,,,, 22160953,,,,,,,,,,,,,, Hardwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,,1.0,1.0,,"840,000",10024,, 1 Day on Trulia, 1929, Coop," $1,200", 75," $1,292/Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228, 3,8.0,4.0,3284.0,"2,799,000",11222,, 1 Day on Trulia, 1899, Multi Family, $852, 3,,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 22165325,, 1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229, 21,,1.0,,"645,000",10010, Central, 1 Day on Trulia, 2007, Condo," $1,483", 207, $493/Monthly,,, None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Hardwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,,2.0,1.0,,"675,000",11204,, 1, 2015, Residential, $905,, $223/Monthly,,,,, 6, 2, 1, 1, 746 Square Feet,, A/C Unit,,,,,, Condominium, Apartment,,," $675,000", Active, Brooklyn,,,,,,, 469245,,," Sewer Connected, Water Connected", Brooklyn,," Dishwasher, Dryer, Microwave, Refrigerator, Stove, Washer",,,,,, Handicap Access,,,,,,,,,, 746 Square Feet,,,,, Porch,,,, NONE, Arm's Length,,,,, Apartment,,,,,,,,,,,,, 26 Ave P Condo, 26 Avenue P Llc, 718-000-0000,,,,,,,,,,,,,,
231,,2.0,2.0,,"989,000",11365,, 1, 1945, Residential,,,,4000,," Private,Detached,1 Car Detached,Driveway", Finished, 7, 2, 2, 2,," Oil,Steam", Wall Unit(s), Oil, No Common Walls, 1, Public Sewer,, Single Family Residence, Cape," Frame, Brick, Other", 05646-0026," $989,000", A, Fresh Meadows,, Queens 26, Jhs 216 George J Ryan, Queens 26, Francis Lewis High School, Queens 26, 3445569, Park,,,,," Dryer, Oven, Washer",," Dryer, Washer",, Finished,,, Hardwood, Hardwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1,,,,,,,,,,,,,,,,,,,,,,
232, 2,1.0,3.0,1920.0,"819,000",11234,, 1, 1960, Residential, $427, 2,,2800, 3," Private Drive,3 Spaces"," Finished,Full", 2, 1, 3, 2, 1920 Square Feet," Natural Gas,Steam/Radiator",, Natural Gas,,,,, Multi Family,," Brick, Other",," $819,000", Active, Brooklyn,,,,,,, 469257,,,, Brooklyn,," Dishwasher, Microwave, Refrigerator, Stove, Gas Water Heater",,,,,, Handicap Access," Ceramic Tile, Granite, Hardwood"," Ceramic Tile, Granite, Hardwood",,, 220 Volts,,,,, 1920 Square Feet,,,,, Porch,, Asphalt Tar, Block," Recreational Room, NONE", Arm's Length,,,,,, 1,,,,,,,,, 960,, 1,,,,,,,,,,,,,,,,,
233, 2,5.0,4.0,2880.0,"1,190,000",10314,, 1, 1970, Residential, $413, 2,,5000, 1," Private Drive,1 Space,Built-In Garage,Garage Door Opener", None,, 5, 4, 3, 2880 Square Feet," Natural Gas,Forced Air", Central Air, Natural Gas,,,,, Multi Family, High Ranch," Vinyl Siding, Other",," $1,190,000", Active, Staten  Island,,,,,,, 469312,,,, Staten Island,," Dishwasher, Dryer, Microwave, Refrigerator, Washer, Gas Water Heater",,,,,,," Hardwood, Tile"," Hardwood, Tile",, 1, 220 Volts,,,,, 2880 Square Feet,,,,,,, Other, Other, NONE, Arm's Length,,,,,,,,,,,,,,, 1440,,,,,,,,,,,,,,,,,,,
234,,4.0,3.0,2200.0,"749,000",11694,, 1 Day on Trulia, 1920, Multi Family, $340, 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,,1.0,2.0,1560.0,"2,148,000",10007, Central, 1 Day on Trulia, 1930, Condo," $1,377", 75," $1,514/Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,,2.0,1.0,,"549,000",11354,, 1 Day on Trulia, 2001, Condo, $869, 26, $317/Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"//my.matterport.com/show/?m=TcpomgSt4JH"" rel=""nofollow noreferrer"" target=""_blank"">See Virtual Tour</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237, 2,2.0,2.0,,"365,000",10465, Central, 1 Day on Trulia, 1925, Single Family Home, $406, 50, $305/Monthly,,,,,,,,,, Forced Air,, Forced Air,,,,,, Modern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,,7.0,5.0,2600.0,"1,150,000",11412,, 1 Day on Trulia, 1950, Multi Family, $442, 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239, 2.5,4.0,2.0,2341.0,"1,199,000",11226,, 1 Day on Trulia, 1925, Multi Family, $512, 2,,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240, 16,1.0,1.0,,"660,000",10022, Other, 1 Day on Trulia, 1956, Condo," $1,260", 156, $496/Monthly,,, Garage Attached,, 1,,,,," Other, Gas",, Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Hardwood, Laundry Room,,,,,,,,,,,,,, Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241, 16,2.0,2.0,1100.0,"1,399,000",10025, Wall, 1 Day on Trulia, 1929, Coop," $1,272", 61," $2,784/Monthly",,, None,, 5,,,,, Radiant,, Radiant,,,,,, Other,,,,,,,,,,,,,, 2011,,,,,,,,,,,," Carpet, Hardwood"," Walk In Closet, Breakfast Nook, Dining Room, Family Room, Laundry Room",,,,,,,,,,,,,, Composition,,,,,,, Brick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,,,1.0,,"299,000",11218,, 1 Day on Trulia, 1953, Coop,, 103, $487/Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,,3.0,3.0,1000.0,"2,995,000",10022,, 1 Day on Trulia, 1938, Coop," $2,995", 127," $6,797/Monthly",,,,, 3,,,,,,,,,,,,,,,,,,,,,,,,, 1189926462798013921,,,,,,,,,,,,,,,,,,,,,,,,,,,,"//youtube.com/watch?v=bYILiSBZzEY"" rel=""nofollow noreferrer"" target=""_blank"">See Virtual Tour</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244, 3,6.0,3.0,3120.0,"1,999,999",11223,, 1, 1915, Residential, $641, 3,,2000,, None, None,, 6, 3, 3, 3120 Square Feet," Natural Gas,Baseboard",, Natural Gas,,,,, Multi Family,," Stucco, Other",," $1,999,999", Active, Brooklyn,,,,,,, 469216,,,, Brooklyn,," Dishwasher, Dryer, Refrigerator, Stove, Washer, Gas Water Heater", Laundry Area,,,,,," Hardwood, Tile"," Hardwood, Tile",,, 110 V,,,,, 3120 Square Feet,,,,,,, Flat, Other, NONE, Arm's Length,,,,,,,,,,,,,,, 1040,,,,,,,,,,,,,,,,,,,
245,,6.0,3.0,1568.0,"1,150,000",10465,, 1, 1935, Residential Income, $733,,,5001,, Public Parking,,, 6, 3, 3, 1568 Square Feet," Natural Gas,Baseboard", Window Unit(s), Natural Gas, No Common Walls,, Public Sewer,, Multi Family, Bilevel,, 05427-0018," $1,150,000", A, BRONX, Call Listing Agent, City of New York, Call Listing Agent, City of New York, Call Listing Agent, City of New York, H6221811,,, Public Garbage Removal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, Public Maintained Road," Cooking Gas, Electricity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,,1.0,3.0,1513.0,"1,520,000",11222, Central, 1 Day on Trulia, 2020, Condo," $1,005", 6, $667/Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,,1.0,1.0,,"289,000",11377,, 1 Day on Trulia,, Coop,,, $573/Monthly,,,,, 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,,2.0,1.0,1400.0,"1,325,000",10025,, 1 Day on Trulia, 1920, Coop, $946, 146," $2,269/Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,,1.0,1.0,,"725,000",10075,, 1 Day on Trulia, 1931, Coop,, 218," $1,717/Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,,2.0,1.0,,"499,000",11232,, 1 Day on Trulia, 1921, Coop, $907, 16, $450/Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 22154582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251, 2,3.0,2.0,1500.0,"799,000",11234, Central, 1 Day on Trulia, 1955, Multi Family, $533, 2,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,,2.0,1.0,1000.0,"950,000",10021, Central, 1 Day on Trulia, 1938, Coop, $950, 84," $2,587/Monthly",,,,, 4,,,,,,,,,,,,,,,,,,,,,,,,, 22165187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,,2.0,2.0,1027.0,"2,695,000",10002,, 1 Day on Trulia, 2021, Condo," $2,624", 85," $1,519/Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"//vimeo.com/713419994"" rel=""nofollow noreferrer"" target=""_blank"">See Virtual Tour</a>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254, 3,3.0,3.0,,"479,999",11435,, 1, 1930, Residential, $533,,,2002,," Shared Driveway,Garage,On Street", Partially Finished, 8, 3, 3, 2, 900 Square Feet," Natural Gas,Baseboard", None, Natural Gas, No Common Walls, 1, Public Sewer,, Single Family Residence, Colonial," Frame, Vinyl Siding", 11925-0070," $479,999", A, Jamaica,, Queens 28, Hillcrest High School, Queens 28, Hillcrest High School, Queens 28, 3445562,,,,,,,,,, Pull Stairs,,,,,, 1,, Three Or More,,, poor,,,,,,,,,,, Real Estate Owned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,,4.0,2.0,,"550,000",11423,, 1, 1920, Residential,,,,5240,," Private,Detached,2 Car Detached"," Finished,Full,Walk-Out Access", 12, 4, 2, 2,," Natural Gas,Steam", None, Natural Gas, No Common Walls, 2, Sewer,, Single Family Residence, Colonial," Frame, Vinyl Siding", 10860-0017," $550,000", A, Hollis,, Queens 29, Cambria Heights Academy, Queens 29, Martin Van Buren High School, Queens 29, 3445563,,,,,,,,,," Finished, Full",,,,,,,,,,, EXCELLENT,,,,,,,,,,,,,,,,,,,,,,, 1,,,,,,,,,,,,,,,,,,,,,,
256, 1,5.0,3.0,2300.0,"2,100,000",11219,, 1, 1940, Residential, $913, 2,,2078, 2," Carport,2 Spaces"," Finished,Full,Separate Entrance", 10, 5, 3, 2, 2300 Square Feet," Natural Gas,Hot Water",, Natural Gas,,,,, Multi Family,, Brick,," $2,100,000", Active, Brooklyn,,,,,,, 469318,,,, Brooklyn,," Dishwasher, Dryer, Refrigerator, Stove, Washer, Gas Water Heater",,,,,,, Tile, Tile,,, 220 Volts,,,,, 2300 Square Feet,,,,,,, Flat, Concrete Perimeter, NONE, Arm's Length,,,,,, 1,,,,,,,,, 1200,,,,,,,,,,,,,,,,,,,
257,,4.0,2.0,1440.0,"959,000",11234,, 1, 1930, Residential, $666,,,2500, 2," Private Drive,2 Spaces,Detached Garage"," Full,Partially Finished", 12, 4, 2, 1, 1440 Square Feet," Natural Gas,Steam/Radiator", A/C Unit, Natural Gas,,,,, Single Family Residence, Duplex, Brick,," $959,000", Active, Brooklyn,,,,,,, 469322,,,, Brooklyn,," Dryer, Refrigerator, Stove, Washer, Gas Water Heater", Laundry Area,,,,,," Carpet, Hardwood, Tile"," Carpet, Hardwood, Tile",, 1, Circuit Breakers,,,,, 1440 Square Feet,,,,, Deck,, Pitched Shingle, Block,, Arm's Length,,,,, Duplex,,,,,, Window Treatments,,,, 720,,,,,,,,,,,,,,,,,,,
258,,,,,"549,999",NY,, 1,, Land,,,,7980,,,,,,,,,,,,,, None,, Unimproved Land,,, 06705-0078," $549,999", Active, Staten Island,,,,,,, 1158941,,," Electricity Not Available, Natural Gas Not Available",,,,,,,,,,,,,,,,,,,, Exclusive Right To Sell,,,,,,,,,,,,,,,,,,,,,,,,, Remaxmetrony.com,,,,,,,,,,,,,,,,,,
259, 2,2.0,2.0,,"412,000",10304,, 1, 1989, Residential, $413,,,1080,," No Garage,Carport", Full, 5, 2, 2, 1, 997 Square Feet," Forced Air,Natural Gas", None, Forced Air,,, Public Sewer,, Single Family - Attached, Townhouse,, 00527-0075," $412,000", Active, Staten Island,,,,,,, 1158938,,,,,,,,,,,,,,," Master Bedroom, Dining Room, Kitchen, Living Room", 1, 220 Volts, 2.0,, Fenced," Existing, Excellent", 997 Square Feet, Exclusive Right To Sell,, None,,,,,,,,,,, Sprinkler System, Townhouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260, 2,3.0,2.0,1317.0,"479,000",10303,, 1, 1992, Residential, $364,, $65/Monthly,1469,," No Garage,Off Street", None, 5, 3, 2, 1, 1317 Square Feet," Forced Air,Natural Gas,Fireplace(s)", Central Air, Forced Air,,, Public Sewer,, Single Family - Attached, Townhouse,, 01702-0032," $479,000", Active, Staten Island,,,,,,, 1158940," Clubhouse, Pool",,,,," Dryer, Refrigerator, Washer",,," Clubhouse, Pool",,,,,," Master Bedroom, Dining Room, Kitchen, Living Room", 1, 110, 2.0,, Fenced," Existing, Good", 1317 Square Feet, Exclusive Right To Sell,, None,,,,,,,,,,,, Townhouse,, In Ground,,,,,,,,,,,,,,,,,,,,,,,,,,,
261, 2,3.0,3.0,2250.0,"728,000",10306,, 1, 1989, Residential, $324,,,2450, 1," Built-in,Garage,Off Street", Full, 5, 3, 3, 1, 2250 Square Feet," Hot Water,Electric,Natural Gas", Units, Hot Water,, 1, Public Sewer,, Single Family - Semi-Attached, Colonial,, 04058-0056," $728,000", Active, Staten Island,,,,,,, 1158939,,,,,," Microwave, Washer",,,,,,,,," Master Bedroom, Dining Room, Kitchen, Living Room", 1, 220 Volts, 2.0,, Fenced," Existing, Excellent", 2250 Square Feet, Exclusive Right To Sell,, None,, Deck,,,,,,,,,,, 1,,,,,,,,,, www.judith.remaxedgeny.com,,,,,,,,,,,,,,,,,,
262, 1,1.0,1.0,,"299,900",10312,, 1, 1915, Residential, $490,,,2500,," No Garage,Off Street", None, 5, 1, 1, 1, 612 Square Feet," Forced Air,Natural Gas", Central Air, Forced Air,,, Public Sewer,, Single Family - Detached, Ranch, Stone, 05426-0016," $299,900", Active, Staten Island,,,,,,, 1158936,,,,,,,,,,,,,,," Master Bedroom, Dining Room, Kitchen, Living Room",, 220 Volts, 1.0,, Fenced," Existing, Good", 612 Square Feet, Exclusive Right To Sell,, None,,,"//www.youtube.com/embed/iRzgUaM-4jM"" rel=""nofollow noreferrer"" target=""_blank"">See Virtual Tour</a>",,,,,,,,,,,,,,,,,,,, garypapirov.net,,,,,,,,,,,,,,,,,,
263, 1,3.0,2.0,1356.0,"769,000",10309,, 1, 1940, Residential, $567,,,6600,," No Garage,Carport", None, 5, 3, 2, 1, 1356 Square Feet," Hot Water,Natural Gas,Fireplace(s)", Units, Hot Water,,, Public Sewer,, Single Family - Detached, Other,, 06878-0015," $769,000", Active, Staten Island,,,,,,, 1158937,,,,,," Dishwasher, Dryer, Indoor Grill, Microwave, Refrigerator, Washer",,,,,,,,," Master Bedroom, Dining Room, Kitchen, Living Room",, 220 Volts, 1.0,, Fenced," Existing, Excellent", 1356 Square Feet, Exclusive Right To Sell,, None, Shed(s)," Deck, Patio",,,,,,,,, Sprinkler System,, 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,,2.0,2.0,1239.0,"2,375,000",10282, Central, 1 Day on Trulia, 2002, Coop," $1,917", 290," $3,892/Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265, 1,1.0,1.0,,"218,888",11375,, 1, 1963, Residential, $292,, $907/Monthly,,," Garage,On Street", None, 5, 1, 1, 1, 750 Square Feet," Oil,Steam", Window Unit(s), Oil, No Common Walls,, Other,, Stock Cooperative, Mid Rise, Brick,," $218,888", A, Forest Hills, Ps 174 William Sidney Mount, Queens 28, Jhs 190 Russell Sage, Queens 28, Queens Metropolitan High School, Queens 28, 3445558," Trash Collection, Park",, Public Garbage Removal, Thornton Place Inc, Co-Op,, Common Area,," Maintenance Grounds, Exterior Maintenance, Sewer, Trash, Heat, Hot Water", None,,,,,,,, One, Security System,,,,,,,,,,,,,,, Public Maintained Road,,,,,, One Bedroom,, 6,,,,,,,,,,,,,,,,,,,,,,,,
266, 1,1.0,1.0,,"189,000",11367,, 1, 1949, Residential,,, $655/Monthly,,, Waitlist, Common, 4, 1, 1, 1,," Natural Gas,Steam", Window Unit(s), Natural Gas, No Common Walls,, Sewer,, Stock Cooperative, Mid Rise, Brick,," $189,000", A, Kew Garden Hills, Ps 164 Queens Valley, Queens 25, Is 250 Robert F Kennedy Comm Ms (The, Queens 25, John Bowne High School, Queens 25, 3445548, Park,, Public Garbage Removal, Kew Terrace, Co-Op," Oven, Refrigerator",," A/C Units, Intercom, Refrigerator, Screens, Wall to Wall Carpet"," Maintenance Grounds, Exterior Maintenance, Snow Removal, Trash, Sewer, Heat, Hot Water", None,,,,,,,, One,,, Very Nice,,,,,,,,,,,,,,,,,,, One Bedroom,, 3,,,,,,,,,,,,,,,,,,,,,,,,
267, 2,8.0,5.0,2603.0,"1,999,000",11235,, 1, 1920, Residential, $768, 2,,1800,," Street,None", Finished, 12, 8, 5, 4, 2603 Square Feet," Natural Gas,Steam/Radiator",, Natural Gas,,,,, Multi Family, Duplex," Brick Veneer, Brick",," $1,999,000", Active, Brooklyn,,,,,,, 469320,,,, Brooklyn,," Refrigerator, Stove, Gas Water Heater", Laundry Area,,,,,, Laminate, Laminate,,, 220 Volts,,, Full,, 2603 Square Feet,,,,, Deck,, Flat, Block, NONE, Arm's Length,,,,, Duplex, 1,,,,,,,,, 1302,, 2,,,,,,,,,,,,,,,,,
268,,,1.0,,"939,000",10013, Central, 1 Day on Trulia, 2009, Apartment," $2,120", 176," $1,444/Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,,1.0,1.0,,"1,195,000",10001,, 1 Day on Trulia, 2022, Condo," $2,185", 69, $657/Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,,1.0,1.0,,"1,345,000",10282, Central, 1 Day on Trulia, 2002, Coop," $1,897", 290," $2,241/Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,,3.0,3.0,1862.0,"4,795,000",10013, Central, 1 Day on Trulia, 2009, Apartment," $2,575", 176," $6,103/Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
